target,tic_id,sector,sectors,tmag,ra_deg,dec_deg,camera,ccd,selection_rank
TIC 159731771,159731771,105,105,8.45,318.8677,-41.3956,1,2,146
TIC 278402677,278402677,105,105,8.38,303.3547,-35.3768,1,3,147
TIC 128791030,128791030,105,105,8.3,300.1281,-44.0528,1,4,148
TIC 201256434,201256434,105,105,8.43,1.724,-56.8466,2,1,149
TIC 469935154,469935154,105,105,8.45,355.4793,-48.2876,2,2,150
TIC 143822655,143822655,105,105,8.52,330.8141,-48.2705,2,3,151
TIC 316787978,316787978,105,105,8.41,323.7756,-54.5846,2,4,152
TIC 183584486,183584486,105,105,8.5,12.2585,-38.2882,3,1,153
TIC 402029194,402029194,105,105,8.5,16.9171,-51.1415,3,2,154
TIC 165919382,165919382,105,105,8.56,31.3617,-46.9837,3,3,155
TIC 199734113,199734113,105,105,8.53,22.3916,-44.8091,3,4,156
TIC 122542985,122542985,105,105,8.5,39.1483,-31.8504,4,1,157
TIC 146654926,146654926,105,105,8.43,42.8485,-42.8311,4,2,158
TIC 142982701,142982701,105,105,8.44,53.8848,-35.8696,4,3,159
TIC 144522901,144522901,105,105,8.52,50.9755,-25.2373,4,4,160
TIC 101817600,101817600,105,105,8.33,303.7854,-52.0952,1,1,161
TIC 91168672,91168672,105,105,8.46,310.2993,-44.5426,1,2,162
TIC 34613528,34613528,105,105,8.4,305.7704,-33.2555,1,3,163
TIC 128792681,128792681,105,105,8.3,300.2231,-46.3551,1,4,164
TIC 219333983,219333983,105,105,8.45,353.8933,-58.1099,2,1,165
TIC 139250909,139250909,105,105,8.46,347.1615,-44.2038,2,2,166
TIC 278634010,278634010,105,105,8.52,333.8977,-39.0144,2,3,167
TIC 139772499,139772499,105,105,8.43,324.4468,-50.797,2,4,168
TIC 80473506,80473506,105,105,8.51,12.506,-45.3281,3,1,169
TIC 206557836,206557836,105,105,8.51,19.4571,-57.2784,3,2,170
TIC 7318157,7318157,105,105,8.57,35.0378,-42.272,3,3,171
TIC 41995112,41995112,105,105,8.57,23.7409,-37.8962,3,4,172
TIC 123322695,123322695,105,105,8.5,30.1393,-30.4246,4,1,173
TIC 323344536,323344536,105,105,8.43,53.1064,-39.4844,4,2,174
TIC 142852005,142852005,105,105,8.46,50.3338,-33.8856,4,3,175
TIC 274000470,274000470,105,105,8.52,42.6298,-20.127,4,4,176
TIC 79155247,79155247,105,105,8.34,316.5194,-52.3791,1,1,177
TIC 126800999,126800999,105,105,8.46,316.8003,-45.6298,1,2,178
TIC 34558016,34558016,105,105,8.41,305.4785,-30.3797,1,3,179
TIC 129480459,129480459,105,105,8.3,304.8065,-46.7504,1,4,180
TIC 355370191,355370191,105,105,8.46,349.5234,-53.5755,2,1,181
TIC 144313499,144313499,105,105,8.46,355.2176,-43.8753,2,2,182
TIC 144199300,144199300,105,105,8.53,327.9085,-47.8191,2,3,183
TIC 277683097,277683097,105,105,8.43,329.0009,-61.6058,2,4,184
TIC 80431036,80431036,105,105,8.52,11.316,-45.0205,3,1,185
TIC 234507522,234507522,105,105,8.58,12.419,-61.1485,3,2,186
TIC 229159040,229159040,105,105,8.57,29.0262,-48.2369,3,3,187
TIC 70491193,70491193,105,105,8.59,22.3447,-35.3985,3,4,188
TIC 257722771,257722771,105,105,8.51,37.1837,-31.2273,4,1,189
TIC 401888550,401888550,105,105,8.44,52.1334,-44.2437,4,2,190
TIC 142884815,142884815,105,105,8.46,51.549,-33.783,4,3,191
TIC 71384002,71384002,105,105,8.56,46.1757,-20.3071,4,4,192
TIC 387292987,387292987,105,105,8.34,312.2948,-54.7798,1,1,193
TIC 139805947,139805947,105,105,8.47,324.9947,-48.9462,1,2,194
TIC 290663828,290663828,105,105,8.41,307.2272,-41.4338,1,3,195
TIC 269380430,269380430,105,105,8.3,292.0743,-41.899,1,4,196
TIC 201255487,201255487,105,105,8.47,1.5648,-55.4987,2,1,197
TIC 183230668,183230668,105,105,8.46,357.3804,-40.3761,2,2,198
TIC 144200130,144200130,105,105,8.53,328.0131,-45.008,2,3,199
TIC 316831649,316831649,105,105,8.43,324.0178,-55.2668,2,4,200
TIC 165880614,165880614,105,105,8.52,1.5134,-43.4256,3,1,201
TIC 281658180,281658180,105,105,8.58,10.0307,-54.5986,3,2,202
TIC 184534300,184534300,105,105,8.61,29.726,-47.4753,3,3,203
TIC 111228007,111228007,105,105,8.62,29.6103,-41.4081,3,4,204
TIC 72582474,72582474,105,105,8.52,30.9551,-29.6251,4,1,205
TIC 77112151,77112151,105,105,8.46,35.0609,-41.3881,4,2,206
TIC 166932248,166932248,105,105,8.46,60.1156,-31.7674,4,3,207
TIC 65448761,65448761,105,105,8.57,41.9731,-24.2391,4,4,208
TIC 100271073,100271073,105,105,8.35,307.0354,-49.3097,1,1,209
TIC 165096169,165096169,105,105,8.47,322.7191,-40.5752,1,2,210
TIC 300283476,300283476,105,105,8.41,298.2164,-39.579,1,3,211
TIC 62294176,62294176,105,105,8.32,291.3131,-45.0584,1,4,212
TIC 339577695,339577695,105,105,8.47,359.1492,-56.1774,2,1,213
TIC 144284767,144284767,105,105,8.47,354.0056,-43.448,2,2,214
TIC 389725245,389725245,105,105,8.53,329.3734,-45.8857,2,3,215
TIC 231707840,231707840,105,105,8.44,339.8715,-55.2164,2,4,216
TIC 116157521,116157521,105,105,8.53,7.7051,-41.3906,3,1,217
TIC 281728055,281728055,105,105,8.59,11.6961,-55.6209,3,2,218
TIC 7264479,7264479,105,105,8.62,33.962,-44.7376,3,3,219
TIC 32421775,32421775,105,105,8.64,27.1407,-32.5982,3,4,220
TIC 123366823,123366823,105,105,8.52,31.3747,-30.5923,4,1,221
TIC 146727510,146727510,105,105,8.46,45.0872,-44.4118,4,2,222
TIC 168793956,168793956,105,105,8.46,63.9347,-32.9821,4,3,223
TIC 209452435,209452435,105,105,8.58,45.8846,-30.1309,4,4,224
TIC 100413610,100413610,105,105,8.36,308.3009,-53.2706,1,1,225
TIC 126947245,126947245,105,105,8.49,318.7478,-46.3623,1,2,226
TIC 389298001,389298001,105,105,8.41,303.36,-38.3562,1,3,227
TIC 143289803,143289803,105,105,8.32,293.528,-43.4644,1,4,228
TIC 469916192,469916192,105,105,8.48,350.7028,-53.0551,2,1,229
TIC 144334647,144334647,105,105,8.47,356.0495,-47.0843,2,2,230
TIC 89040036,89040036,105,105,8.54,338.501,-43.3539,2,3,231
TIC 370283747,370283747,105,105,8.44,336.0703,-55.0176,2,4,232
TIC 179986582,179986582,105,105,8.54,13.9959,-39.1076,3,1,233
TIC 206548652,206548652,105,105,8.61,18.4752,-55.242,3,2,234
TIC 142179451,142179451,105,105,8.62,37.7249,-44.4449,3,3,235
TIC 100918369,100918369,105,105,8.64,32.499,-39.2588,3,4,236
TIC 77068862,77068862,105,105,8.54,34.0351,-37.8532,4,1,237
TIC 308265904,308265904,105,105,8.51,52.0158,-38.8078,4,2,238
TIC 168674646,168674646,105,105,8.47,61.1664,-30.0076,4,3,239
TIC 65416723,65416723,105,105,8.59,41.1397,-26.7464,4,4,240
TIC 355579231,355579231,105,105,8.38,320.9943,-54.7752,1,1,241
TIC 159737143,159737143,105,105,8.49,319.0909,-39.5863,1,2,242
TIC 369457060,369457060,105,105,8.43,311.5739,-39.0744,1,3,243
TIC 62188123,62188123,105,105,8.33,290.9301,-42.2877,1,4,244
TIC 197950616,197950616,105,105,8.49,346.6892,-52.1472,2,1,245
TIC 206309502,206309502,105,105,8.49,353.5608,-50.5536,2,2,246
TIC 71334105,71334105,105,105,8.57,331.0693,-42.9901,2,3,247
TIC 403191366,403191366,105,105,8.47,337.2565,-59.2307,2,4,248
TIC 80260422,80260422,105,105,8.56,7.2958,-45.0592,3,1,249
TIC 206602911,206602911,105,105,8.61,21.4881,-59.2774,3,2,250
TIC 166734540,166734540,105,105,8.62,36.5587,-53.2826,3,3,251
TIC 115378564,115378564,105,105,8.64,28.471,-37.7769,3,4,252
TIC 70524156,70524156,105,105,8.55,33.0694,-35.4195,4,1,253
TIC 311402554,311402554,105,105,8.51,35.7583,-42.0471,4,2,254
TIC 144521956,144521956,105,105,8.5,50.7789,-29.3652,4,3,255
TIC 71351278,71351278,105,105,8.6,45.2198,-20.8449,4,4,256
TIC 91308746,91308746,105,105,8.4,311.3683,-47.2209,1,1,257
TIC 129645620,129645620,105,105,8.53,321.3008,-40.3151,1,2,258
TIC 300734047,300734047,105,105,8.44,299.821,-39.6944,1,3,259
TIC 143461757,143461757,105,105,8.33,294.8459,-43.1336,1,4,260
TIC 321928761,321928761,105,105,8.49,0.5607,-51.5404,2,1,261
TIC 139190335,139190335,105,105,8.52,345.2734,-46.8776,2,2,262
TIC 140039144,140039144,105,105,8.57,328.9577,-48.9898,2,3,263
TIC 403208717,403208717,105,105,8.48,338.3486,-56.1448,2,4,264
TIC 179284154,179284154,105,105,8.56,12.6968,-41.5556,3,1,265
TIC 231010701,231010701,105,105,8.61,25.8794,-57.6864,3,2,266
TIC 229139161,229139161,105,105,8.62,26.063,-50.0992,3,3,267
TIC 183589690,183589690,105,105,8.65,17.2955,-37.3396,3,4,268
TIC 122615848,122615848,105,105,8.55,41.5125,-30.5245,4,1,269
TIC 91637482,91637482,105,105,8.52,39.4914,-38.7691,4,2,270
TIC 129886903,129886903,105,105,8.51,55.8632,-38.0189,4,3,271
TIC 65434172,65434172,105,105,8.61,41.4929,-25.2105,4,4,272
TIC 469853160,469853160,105,105,8.4,320.8638,-51.1494,1,1,273
TIC 147084337,147084337,105,105,8.55,321.2545,-43.5271,1,2,274
TIC 48840541,48840541,105,105,8.46,302.0765,-31.2882,1,3,275
TIC 79883776,79883776,105,105,8.35,296.8865,-46.2822,1,4,276
TIC 355651607,355651607,105,105,8.5,358.5523,-55.4746,2,1,277
TIC 175342875,175342875,105,105,8.52,347.8508,-41.1727,2,2,278
TIC 197639370,197639370,105,105,8.57,328.1526,-41.7177,2,3,279
TIC 139916678,139916678,105,105,8.49,327.1889,-53.0179,2,4,280
TIC 101962962,101962962,105,105,8.58,15.0554,-45.1029,3,1,281
TIC 382525982,382525982,105,105,8.62,14.999,-51.3434,3,2,282
TIC 311402004,311402004,105,105,8.62,35.8923,-44.7649,3,3,283
TIC 183594152,183594152,105,105,8.65,18.0837,-38.2478,3,4,284
TIC 178171080,178171080,105,105,8.59,43.2662,-31.4039,4,1,285
TIC 209428549,209428549,105,105,8.53,45.177,-35.9371,4,2,286
TIC 160009428,160009428,105,105,8.51,51.231,-36.2113,4,3,287
TIC 97492473,97492473,105,105,8.61,44.0994,-18.7039,4,4,288
TIC 387195976,387195976,105,105,8.41,304.7081,-55.0669,1,1,289
TIC 147201971,147201971,105,105,8.56,323.0813,-47.2335,1,2,290
TIC 92257800,92257800,105,105,8.47,313.1523,-35.4236,1,3,291
TIC 271360449,271360449,105,105,8.35,292.2839,-47.0928,1,4,292
TIC 206326414,206326414,105,105,8.53,353.9617,-52.2538,2,1,293
TIC 224264057,224264057,105,105,8.53,353.6032,-40.9531,2,2,294
TIC 44565054,44565054,105,105,8.58,340.6757,-43.1836,2,3,295
TIC 355582393,355582393,105,105,8.49,323.0532,-57.3032,2,4,296
TIC 120580554,120580554,105,105,8.61,4.1665,-39.492,3,1,297
TIC 281765034,281765034,105,105,8.63,12.6876,-57.3297,3,2,298
TIC 7222624,7222624,105,105,8.63,32.7852,-42.7522,3,3,299
TIC 115284124,115284124,105,105,8.68,26.5486,-40.2476,3,4,300
TIC 178155959,178155959,105,105,8.6,42.9202,-32.4027,4,1,301
TIC 146689029,146689029,105,105,8.57,43.2548,-44.5809,4,2,302
TIC 44679387,44679387,105,105,8.52,60.1018,-29.2345,4,3,303
TIC 65414965,65414965,105,105,8.63,40.8462,-26.5121,4,4,304
TIC 231638228,231638228,105,105,8.42,318.1634,-57.6385,1,1,305
TIC 126821282,126821282,105,105,8.57,317.2814,-43.2755,1,2,306
TIC 8191897,8191897,105,105,8.48,301.4946,-39.976,1,3,307
TIC 421363822,421363822,105,105,8.36,293.0108,-42.8158,1,4,308
TIC 201252144,201252144,105,105,8.54,1.0691,-59.3152,2,1,309
TIC 139196676,139196676,105,105,8.54,345.375,-42.4429,2,2,310
TIC 117515674,117515674,105,105,8.59,339.8504,-44.746,2,3,311
TIC 394557838,394557838,105,105,8.49,335.2083,-61.6706,2,4,312
TIC 180551039,180551039,105,105,8.61,15.3519,-40.4326,3,1,313
TIC 156084291,156084291,105,105,8.65,11.2758,-53.235,3,2,314
TIC 7264867,7264867,105,105,8.63,34.0279,-46.8845,3,3,315
TIC 70490868,70490868,105,105,8.7,22.3589,-33.3205,3,4,316
TIC 123269386,123269386,105,105,8.65,28.7435,-31.2225,4,1,317
TIC 146724455,146724455,105,105,8.57,44.6326,-47.3995,4,2,318
TIC 44735812,44735812,105,105,8.52,60.645,-28.6687,4,3,319
TIC 88462296,88462296,105,105,8.63,46.5635,-27.6551,4,4,320
TIC 370107365,370107365,105,105,8.42,314.8375,-50.6839,1,1,321
TIC 126894129,126894129,105,105,8.58,318.001,-47.0583,1,2,322
TIC 301773068,301773068,105,105,8.48,302.6462,-29.7614,1,3,323
TIC 61693966,61693966,105,105,8.37,288.8068,-46.8857,1,4,324
TIC 267018696,267018696,105,105,8.54,350.2148,-56.8071,2,1,325
TIC 144284279,144284279,105,105,8.55,353.9669,-46.1664,2,2,326
TIC 197741710,197741710,105,105,8.59,331.2612,-40.8837,2,3,327
TIC 469907979,469907979,105,105,8.53,337.0544,-61.5293,2,4,328
TIC 80427890,80427890,105,105,8.63,10.6232,-44.5326,3,1,329
TIC 158549404,158549404,105,105,8.65,20.2901,-49.6407,3,2,330
TIC 231276602,231276602,105,105,8.63,42.0024,-48.5477,3,3,331
TIC 111268197,111268197,105,105,8.72,30.7124,-36.9173,3,4,332
TIC 70555645,70555645,105,105,8.66,33.8162,-32.112,4,1,333
TIC 147458754,147458754,105,105,8.58,41.2864,-40.6646,4,2,334
TIC 142961056,142961056,105,105,8.52,53.4978,-31.7729,4,3,335
TIC 137862455,137862455,105,105,8.63,48.3492,-18.613,4,4,336
TIC 91035744,91035744,105,105,8.43,308.9162,-46.6896,1,1,337
TIC 147333422,147333422,105,105,8.58,325.6536,-47.3184,1,2,338
TIC 439450350,439450350,105,105,8.49,301.6444,-32.2258,1,3,339
TIC 101277731,101277731,105,105,8.37,299.9511,-50.2942,1,4,340
TIC 237325937,237325937,105,105,8.56,345.8184,-62.8175,2,1,341
TIC 139327558,139327558,105,105,8.6,348.7462,-43.2991,2,2,342
TIC 278634904,278634904,105,105,8.59,333.9341,-41.8277,2,3,343
TIC 389051428,389051428,105,105,8.54,333.4628,-62.2809,2,4,344
TIC 66397554,66397554,105,105,8.66,13.0262,-35.7477,3,1,345
TIC 158582370,158582370,105,105,8.65,21.4522,-53.1264,3,2,346
TIC 158647053,158647053,105,105,8.64,24.9335,-48.0097,3,3,347
TIC 41865223,41865223,105,105,8.73,21.4076,-38.182,3,4,348
TIC 122686279,122686279,105,105,8.67,42.2252,-31.5663,4,1,349
TIC 142315628,142315628,105,105,8.59,41.5561,-43.7498,4,2,350
TIC 89184357,89184357,105,105,8.53,57.2825,-28.7555,4,3,351
TIC 88455581,88455581,105,105,8.66,46.4468,-25.3934,4,4,352
TIC 273210870,273210870,105,105,8.44,313.6531,-55.7296,1,1,353
TIC 91394598,91394598,105,105,8.59,313.1893,-42.2985,1,2,354
TIC 271490910,271490910,105,105,8.53,299.3412,-35.1012,1,3,355
TIC 423160649,423160649,105,105,8.37,287.7379,-48.7789,1,4,356
TIC 206285518,206285518,105,105,8.57,352.9639,-53.8554,2,1,357
TIC 139233425,139233425,105,105,8.61,346.8954,-43.9204,2,2,358
TIC 214568651,214568651,105,105,8.6,340.6237,-40.9045,2,3,359
TIC 355583634,355583634,105,105,8.56,323.0364,-58.9672,2,4,360
TIC 183534900,183534900,105,105,8.66,5.4514,-40.2404,3,1,361
TIC 206503364,206503364,105,105,8.65,16.1678,-57.1523,3,2,362
TIC 142180206,142180206,105,105,8.65,37.9621,-46.6663,3,3,363
TIC 100104758,100104758,105,105,8.73,24.9629,-42.3209,3,4,364
TIC 91590767,91590767,105,105,8.68,44.132,-32.7866,4,1,365
TIC 146725417,146725417,105,105,8.59,44.8499,-43.6153,4,2,366
TIC 166742533,166742533,105,105,8.53,56.4261,-30.9333,4,3,367
TIC 279338897,279338897,105,105,8.66,43.6926,-25.5829,4,4,368
TIC 366989877,366989877,105,105,8.44,302.1142,-54.3175,1,1,369
TIC 355094959,355094959,105,105,8.59,314.6441,-37.2446,1,2,370
TIC 278324684,278324684,105,105,8.53,303.3281,-30.2524,1,3,371
TIC 114680194,114680194,105,105,8.39,293.9586,-40.4981,1,4,372
TIC 206356201,206356201,105,105,8.57,355.8299,-52.1061,2,1,373
TIC 206359911,206359911,105,105,8.63,356.5358,-49.9388,2,2,374
TIC 121423788,121423788,105,105,8.61,342.1315,-47.552,2,3,375
TIC 410441308,410441308,105,105,8.56,319.7697,-60.4516,2,4,376
TIC 117156568,117156568,105,105,8.68,8.9173,-38.9305,3,1,377
